         4914450 function calls in 0.839 seconds

   Ordered by: cumulative time
   List reduced from 137 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.839    0.168 linecast_maps_bench.py:57(frame)
        5    0.000    0.000    0.839    0.168 maps.py:563(render_map)
        5    0.000    0.000    0.835    0.167 maps.py:266(_render_globe)
        5    0.000    0.000    0.668    0.134 _maps_views.py:263(_get_globe)
        5    0.004    0.001    0.668    0.134 _scenes.py:161(get)
        5    0.000    0.000    0.662    0.132 _maps_views.py:266(load)
       10    0.014    0.001    0.244    0.024 _globe.py:184(geometry)
       10    0.136    0.014    0.219    0.022 _globe.py:155(_project)
        5    0.038    0.008    0.171    0.034 _globe.py:568(border_layer)
        5    0.046    0.009    0.125    0.025 _globe.py:367(elevation)
    90377    0.055    0.000    0.122    0.000 _radar_basemap.py:321(_dot_line)
       30    0.000    0.000    0.083    0.003 _scenes.py:44(get)
        5    0.000    0.000    0.082    0.016 maps.py:316(build)
      760    0.054    0.000    0.073    0.000 _globe.py:306(bilinear_taps)
        5    0.034    0.007    0.069    0.014 _maps_paint.py:174(build_terrain_buffer)
  1336930    0.067    0.000    0.067    0.000 {method 'append' of 'list' objects}
        5    0.048    0.010    0.066    0.013 _globe.py:657(lake_mask)
        5    0.000    0.000    0.057    0.011 _globe.py:746(city_overlays)
        5    0.009    0.002    0.057    0.011 _globe.py:768(_place_cities)
    26140    0.022    0.000    0.039    0.000 _globe.py:128(forward)
        5    0.011    0.002    0.027    0.005 _maps_paint.py:295(compose_terrain)
   196405    0.021    0.000    0.027    0.000 _radar_basemap.py:206(_bresenham)
   427965    0.022    0.000    0.022    0.000 {built-in method math.sin}
        5    0.017    0.003    0.021    0.004 _maps_views.py:53(_coast_dots)
   106028    0.020    0.000    0.020    0.000 _radar_basemap.py:287(_set_dot)
   389330    0.020    0.000    0.020    0.000 {built-in method math.cos}
   365222    0.020    0.000    0.020    0.000 {built-in method builtins.round}
    10736    0.005    0.000    0.018    0.000 _color.py:317(interp_stops)
        5    0.012    0.002    0.017    0.003 _maps_views.py:77(_box_average)
   334513    0.016    0.000    0.016    0.000 {built-in method math.sqrt}
    10736    0.008    0.000    0.012    0.000 _color.py:303(lerp)
   198062    0.011    0.000    0.011    0.000 {built-in method builtins.min}
        5    0.006    0.001    0.009    0.002 _globe.py:455(limb_lls)
   181685    0.008    0.000    0.008    0.000 {built-in method math.degrees}
    18089    0.003    0.000    0.008    0.000 _framebuffer.py:23(halfblock)
   155155    0.008    0.000    0.008    0.000 {built-in method builtins.max}
   108805    0.008    0.000    0.008    0.000 {built-in method math.atan2}
        5    0.006    0.001    0.008    0.002 _climate.py:78(grid_for_lls)
       25    0.007    0.000    0.007    0.000 _scenes.py:52(put)
    22800    0.003    0.000    0.007    0.000 _color.py:286(bg)


