         5780936 function calls in 0.958 seconds

   Ordered by: cumulative time
   List reduced from 151 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.958    0.192 linecast_maps_bench.py:57(frame)
        5    0.000    0.000    0.958    0.192 maps.py:563(render_map)
        5    0.000    0.000    0.954    0.191 maps.py:266(_render_globe)
        5    0.000    0.000    0.667    0.133 _maps_views.py:263(_get_globe)
        5    0.004    0.001    0.667    0.133 _scenes.py:161(get)
        5    0.000    0.000    0.661    0.132 _maps_views.py:266(load)
       10    0.016    0.002    0.245    0.024 _globe.py:184(geometry)
       10    0.136    0.014    0.218    0.022 _globe.py:155(_project)
        5    0.038    0.008    0.170    0.034 _globe.py:568(border_layer)
        5    0.046    0.009    0.126    0.025 _globe.py:367(elevation)
    90377    0.055    0.000    0.121    0.000 _radar_basemap.py:321(_dot_line)
       40    0.000    0.000    0.082    0.002 _scenes.py:44(get)
        5    0.000    0.000    0.082    0.016 maps.py:316(build)
    51010    0.045    0.000    0.078    0.000 _globe.py:128(forward)
      760    0.055    0.000    0.073    0.000 _globe.py:306(bilinear_taps)
  1429150    0.071    0.000    0.071    0.000 {method 'append' of 'list' objects}
        5    0.034    0.007    0.069    0.014 _maps_paint.py:174(build_terrain_buffer)
        5    0.000    0.000    0.066    0.013 _globe_now.py:482(city_lights_globe)
        5    0.012    0.002    0.066    0.013 _globe_now.py:499(_light_cities)
        5    0.048    0.010    0.065    0.013 _globe.py:657(lake_mask)
        5    0.000    0.000    0.059    0.012 _globe.py:746(city_overlays)
        5    0.011    0.002    0.059    0.012 _globe.py:768(_place_cities)
        5    0.000    0.000    0.052    0.010 maps.py:245(_shade_now)
       10    0.025    0.002    0.042    0.004 _globe_now.py:191(daylight)
   572625    0.030    0.000    0.030    0.000 {built-in method math.sin}
   554272    0.029    0.000    0.029    0.000 {built-in method math.cos}
        5    0.011    0.002    0.028    0.006 _maps_paint.py:295(compose_terrain)
   196405    0.020    0.000    0.027    0.000 _radar_basemap.py:206(_bresenham)
        5    0.017    0.003    0.021    0.004 _maps_views.py:53(_coast_dots)
   106028    0.020    0.000    0.020    0.000 _radar_basemap.py:287(_set_dot)
   366171    0.019    0.000    0.019    0.000 {built-in method builtins.round}
    10736    0.005    0.000    0.018    0.000 _color.py:317(interp_stops)
        5    0.012    0.002    0.017    0.003 _maps_views.py:77(_box_average)
   334509    0.015    0.000    0.015    0.000 {built-in method math.sqrt}
   265736    0.015    0.000    0.015    0.000 {built-in method builtins.min}
   267819    0.014    0.000    0.014    0.000 {built-in method builtins.max}
   315286    0.013    0.000    0.013    0.000 {built-in method math.radians}
    10736    0.008    0.000    0.013    0.000 _color.py:303(lerp)
    26135    0.007    0.000    0.012    0.000 _globe_now.py:469(_light_weight)
        5    0.006    0.001    0.010    0.002 _globe.py:455(limb_lls)


